TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION,team_id,abbreviation,nickname,city,full_name
1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Quin Snyder,College Park Skyhawks,1610612737,ATL,Hawks,Atlanta,Atlanta Hawks
1610612738,BOS,Celtics,1946,Boston,TD Garden,18624.0,Wyc Grousbeck,Brad Stevens,Joe Mazzulla,Maine Celtics,1610612738,BOS,Celtics,Boston,Boston Celtics
1610612739,CLE,Cavaliers,1970,Cleveland,Rocket Arena,20562.0,Dan Gilbert,Koby Altman,Kenny Atkinson,Cleveland Charge,1610612739,CLE,Cavaliers,Cleveland,Cleveland Cavaliers
1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,,Gayle Benson,Trajan Langdon,Willie Green,Birmingham Squadron,1610612740,NOP,Pelicans,New Orleans,New Orleans Pelicans
1610612741,CHI,Bulls,1966,Chicago,United Center,21711.0,Michael Reinsdorf,Arturas Karnisovas,Billy Donovan,Windy City Bulls,1610612741,CHI,Bulls,Chicago,Chicago Bulls
1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Patrick Dumont,Nico Harrison,Jason Kidd,Texas Legends,1610612742,DAL,Mavericks,Dallas,Dallas Mavericks
1610612743,DEN,Nuggets,1976,Denver,Ball Arena,,Stan Kroenke,Calvin Booth,Michael Malone,Grand Rapids Gold,1610612743,DEN,Nuggets,Denver,Denver Nuggets
1610612744,GSW,Warriors,1946,Golden State,Chase Center,,Joe Lacob,Mike Dunleavy Jr.,Steve Kerr,Santa Cruz Warriors,1610612744,GSW,Warriors,Golden State,Golden State Warriors
1610612745,HOU,Rockets,1967,Houston,Toyota Center,18104.0,Tilman Fertitta,Rafael Stone,Ime Udoka,Rio Grande Valley Vipers,1610612745,HOU,Rockets,Houston,Houston Rockets
1610612746,LAC,Clippers,1970,Los Angeles,Intuit Dome,19060.0,Steve Ballmer,Michael Winger,Tyronn Lue,Agua Caliente Clippers of Ontario,1610612746,LAC,Clippers,Los Angeles,Los Angeles Clippers
1610612747,LAL,Lakers,1948,Los Angeles,Crypto.com Arena,19060.0,Jeanie Buss,Rob Pelinka,JJ Redick,South Bay Lakers,1610612747,LAL,Lakers,Los Angeles,Los Angeles Lakers
1610612748,MIA,Heat,1988,Miami,Kaseya Center,19600.0,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce,1610612748,MIA,Heat,Miami,Miami Heat
1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens,Jon Horst,Doc Rivers,Wisconsin Herd,1610612749,MIL,Bucks,Milwaukee,Milwaukee Bucks
1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,19356.0,Glen Taylor,Tim Connelly,Chris Finch,Iowa Wolves,1610612750,MIN,Timberwolves,Minnesota,Minnesota Timberwolves
1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,,Joe Tsai,Sean Marks,Jordi Fernandez,Long Island Nets,1610612751,BKN,Nets,Brooklyn,Brooklyn Nets
1610612752,NYK,Knicks,1946,New York,Madison Square Garden,19763.0,Jim Dolan,Leon Rose,Tom Thibodeau,Westchester Knicks,1610612752,NYK,Knicks,New York,New York Knicks
1610612753,ORL,Magic,1989,Orlando,Kia Center,0.0,Dan DeVos,John Hammond,Jamahl Mosley,Osceola Magic,1610612753,ORL,Magic,Orlando,Orlando Magic
1610612754,IND,Pacers,1976,Indiana,Gainbridge Fieldhouse ,18345.0,Herb Simon,Kevin Pritchard,Rick Carlisle,Indiana Mad Ants,1610612754,IND,Pacers,Indiana,Indiana Pacers
1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris & David Blitzer,Elton Brand,Nick Nurse,Delaware Blue Coats,1610612755,PHI,76ers,Philadelphia,Philadelphia 76ers
1610612756,PHX,Suns,1968,Phoenix,PHX Arena,,Mat Ishbia,James Jones,Mike Budenholzer,Valley Suns,1610612756,PHX,Suns,Phoenix,Phoenix Suns
1610612757,POR,Trail Blazers,1970,Portland,Moda Center,19980.0,Jody Allen,Joe Cronin,Chauncey Billups,Rip City Remix,1610612757,POR,Trail Blazers,Portland,Portland Trail Blazers
1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,17500.0,Vivek Ranadive,Monte McNair,Doug Christie,Stockton Kings,1610612758,SAC,Kings,Sacramento,Sacramento Kings
1610612759,SAS,Spurs,1976,San Antonio,Frost Bank Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs,1610612759,SAS,Spurs,San Antonio,San Antonio Spurs
1610612760,OKC,Thunder,1967,Oklahoma City,Paycom Center,,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue,1610612760,OKC,Thunder,Oklahoma City,Oklahoma City Thunder
